NTD ID,Agency,City,State,Mode,Type of Service,Unlinked Passenger Trips,Operating Expenses
20008,MTA New York City Transit,New York,NY,HR,DO,1750000000,8600000000
20008,MTA New York City Transit,New York,NY,HR,PT,50000000,400000000
20008,MTA New York City Transit,New York,NY,MB,DO,460000000,3100000000
30030,WMATA,Washington,DC,HR,DO,180000000,1500000000
30030,WMATA,Washington,DC,MB,DO,100000000,750000000
50066,Chicago Transit Authority,Chicago,IL,HR,DO,210000000,900000000
50066,Chicago Transit Authority,Chicago,IL,MB,DO,190000000,1000000000
90154,LA Metro,Los Angeles,CA,HR,DO,40000000,380000000
90154,LA Metro,Los Angeles,CA,LR,DO,75000000,700000000
90154,LA Metro,Los Angeles,CA,MB,DO,210000000,1300000000
30019,SEPTA,Philadelphia,PA,HR,DO,90000000,500000000
30019,SEPTA,Philadelphia,PA,LR,DO,20000000,180000000
30019,SEPTA,Philadelphia,PA,CR,PT,35000000,600000000
00008,TriMet,Portland,OR,LR,DO,32000000,260000000
40034,Dallas DART,Dallas,TX,LR,DO,18000000,210000000
60027,LIRR,New York,NY,CR,DO,90000000,1600000000
